EntrezID	Gene	UNIPROT	common_p	Concentration	Ayuko_Ev_q
5095	PCCA	P05165	P	290	40133700.33
23589	CARHSP1	Q9Y2V2	P	280	83667959.19
81611	ANP32E	Q9BTT0	P	280	86767942.38
93185	IGSF8	Q969P0	P	280	45796551.5
7247	TSN	Q15631	P	280	26346757.75
10146	G3BP1	Q13283	P	280	116054935
9775	EIF4A3	P38919	P	280	425349186.7
7174	TPP2	P29144	P	280	123097198.4
8669	EIF3J	O75822	P	280	28032693.91
148362	BROX	Q5VW32	P	270	57181817.5
7919	DDX39B	Q13838	P	270	246992703.2
6281	S100A10	P60903	P	270	407675788.1
9798	IST1	P53990	P	270	60696743.02
9045	RPL14	P50914	P	270	321405604.9
2207	FCER1G	P30273	P	270	111971108
8724	SNX3	O60493	P	270	65568744.5
4659	PPP1R12A	O14974	P	270	29779545.78
120	ADD3	Q9UEY8	P	260	22414114.33
6614	SIGLEC1	Q9BZZ2	P	260	46481622
9341	VAMP3	Q15836	P	260	75260779.84
684	BST2	Q10589	P	260	77347628
5813	PURA	Q00577	P	260	187566037.9
3692	EIF6	P56537	P	260	150244362.1
9782	MATR3	P43243	P	260	154303538.7
6223	RPS19	P39019	P	260	64025542.78
27429	HTRA2	O43464	P	260	64063675.06
64856	VWA1	Q6PCB0	P	250	26946365.88
9540	TP53I3	Q53FA7	P	250	15044644.5
26000	TBC1D10B	Q4KMP7	P	250	13597097.85
5711	PSMD5	Q16401	P	250	102954025.8
1639	DCTN1	Q14203	P	250	86532127.38
5591	PRKDC	P78527	P	250	189877017.2
5049	PAFAH1B2	P68402	P	250	84745818
7384	UQCRC1	P31930	P	250	18337621.88
5716	PSMD10	O75832	P	250	78139519
283871	PGP	A6NDG6	P	250	34057357
58478	ENOPH1	Q9UHY7	P	240	14045010.44
56889	TM9SF3	Q9HD45	P	240	82739451.42
285148	IAH1	Q2TAA2	P	240	14742866.56
2987	GUK1	Q16774	P	240	22833927.78
817	CAMK2D	Q13557	P	240	58314293.33
2764	GMFB	P60983	P	240	56124365.31
4513	MT-CO2	P00403	P	240	55606669.19
9217	VAPB	O95292	P	240	46062496
5707	PSMD1	Q99460	P	230	148911429.8
10979	FERMT2	Q96AC1	P	230	62364674.79
1994	ELAVL1	Q15717	P	230	74692839.38
1785	DNM2	P50570	P	230	89120784.75
8531	YBX3	P16989	P	230	27148023.2
1329	COX5B	P10606	P	230	39243208.45
9131	AIFM1	O95831	P	230	23957977.74
27243	CHMP2A	O43633	P	230	37347167.69
10330	CNPY2	Q9Y2B0	P	220	32004537.87
5203	PFDN4	Q9NQP4	P	220	51935162
63893	UBE2O	Q9C0C9	P	220	29184247.08
8673	VAMP8	Q9BV40	P	220	68409777.88
79180	EFHD2	Q96C19	P	220	25080519.63
79763	ISOC2	Q96AB3	P	220	18104782.06
2107	ETF1	P62495	P	220	101626908
10972	TMED10	P49755	P	220	87305523.81
1491	CTH	P32929	P	220	26723146.75
5238	PGM3	O95394	P	220	63739095.88
10527	IPO7	O95373	P	220	76410106.65
1477	CSTF1	Q05048	P	210	41939014.88
5331	PLCB3	Q01970	P	210	14193344.59
6210	RPS15A	P62244	P	210	370134133.9
6224	RPS20	P60866	P	210	158862793.4
4237	MFAP2	P55001	P	210	121145675.9
311	ANXA11	P50995	P	210	225516016.6
10128	LRPPRC	P42704	P	210	13927271.8
10209	EIF1	P41567	P	210	17384217.38
2935	GSPT1	P15170	P	210	116072576.3
1615	DARS1	P14868	P	210	234216847.1
5576	PRKAR2A	P13861	P	210	98352825.39
1345	COX6C	P09669	P	210	2550077.042
1965	EIF2S1	P05198	P	210	129447786.7
972	CD74	P04233	P	210	52562214.63
6840	SVIL	O95425	P	210	40015075.34
11171	STRAP	Q9Y3F4	P	200	213268167.1
29979	UBQLN1	Q9UMX0	P	200	10394098.88
10397	NDRG1	Q92597	P	200	128940049.8
80301	PLEKHO2	Q8TD55	P	200	31918323.13
5704	PSMC4	P43686	P	200	171824282.9
5091	PC	P11498	P	200	39167156.11
10212	DDX39A	O00148	P	200	250049225
51119	SBDS	Q9Y3A5	P	190	136724540
26509	MYOF	Q9NZM1	P	190	118264250.3
11235	PDCD10	Q9BUL8	P	190	34764568.86
140576	S100A16	Q96FQ6	P	190	85533943.5
26472	PPP1R14B	Q96C90	P	190	17899270.47
2079	ERH	P84090	P	190	244680955
6207	RPS13	P62277	P	190	136698958.5
9318	COPS2	P61201	P	190	62390789
5713	PSMD7	P51665	P	190	167062765
6159	RPL29	P47914	P	190	39955965.66
7112	TMPO	P42166	P	190	21194699.1
5701	PSMC2	P35998	P	190	172336471.4
6137	RPL13	P26373	P	190	87225393.98
5578	PRKCA	P17252	P	190	36423863.71
3035	HARS1	P12081	P	190	32473672.88
3643	INSR	P06213	P	190	15361009.31
2239	GPC4	O75487	P	190	60945340.05
64122	FN3K	Q9H479	P	180	46891158.38
85456	TNKS1BP1	Q9C0C2	P	180	16900914.06
4758	NEU1	Q99519	P	180	40815636.48
54102	CLIC6	Q96NY7	P	180	119004116.6
11335	CBX3	Q13185	P	180	114369993.9
6169	RPL38	P63173	P	180	89766526
6228	RPS23	P62266	P	180	186251076.3
8662	EIF3B	P55884	P	180	112556849.3
4131	MAP1B	P46821	P	180	58325475.33
6697	SPR	P35270	P	180	94682459.58
6133	RPL9	P32969	P	180	140803890.2
7385	UQCRC2	P22695	P	180	9178531.563
24139	EML2	O95834	P	180	100020931
133619	PRRC1	Q96M27	P	170	22324515.69
55845	BRK1	Q8WUW1	P	170	27734271.75
55020	TTC38	Q5R3I4	P	170	55397758.67
2319	FLOT2	Q14254	P	170	74577823.49
5092	PCBD1	P61457	P	170	388222523.6
6155	RPL27	P61353	P	170	119486516.5
5862	RAB2A	P61019	P	170	161226158.7
54331	GNG2	P59768	P	170	45258533
4597	MVD	P53602	P	170	35494432.5
10134	BCAP31	P51572	P	170	93547404.17
2339	FNTA	P49354	P	170	32980326.58
4678	NASP	P49321	P	170	96253159.03
65108	MARCKSL1	P49006	P	170	57066967.66
2109	ETFB	P38117	P	170	33594105
1371	CPOX	P36551	P	170	19633823.33
3675	ITGA3	P26006	P	170	202658035.2
515	ATP5PB	P24539	P	170	12792211.05
5566	PRKACA	P17612	P	170	74461975.88
5111	PCNA	P12004	P	170	125693280
3162	HMOX1	P09601	P	170	10049493.25
8615	USO1	O60763	P	170	88782347.75
26517	TIMM13	Q9Y5L4	P	160	11194504.25
28985	MCTS1	Q9ULC4	P	160	79246998.38
26973	CHORDC1	Q9UHD1	P	160	32415705.75
55004	LAMTOR1	Q6IAA8	P	160	44463818.5
5445	PON2	Q15165	P	160	24997696.75
9805	SCRN1	Q12765	P	160	23900108.31
7555	CNBP	P62633	P	160	35063014.56
5912	RAP2B	P61225	P	160	84964322.75
1397	CRIP2	P52943	P	160	91247916.25
3838	KPNA2	P52292	P	160	23008166.69
5903	RANBP2	P49792	P	160	33646519
2237	FEN1	P39748	P	160	108347152
3301	DNAJA1	P31689	P	160	119948145.4
513	ATP5F1D	P30049	P	160	2704844.344
2052	EPHX1	P07099	P	160	361829298.3
51060	TXNDC12	O95881	P	160	26492879.06
10211	FLOT1	O75955	P	160	79544528
10768	AHCYL1	O43865	P	160	189304538.7
9209	LRRFIP2	Q9Y608	P	150	51618776
23670	CEMIP2	Q9UHN6	P	150	16969116
27068	PPA2	Q9H2U2	P	150	177367163.2
5814	PURB	Q96QR8	P	150	58141510.09
6252	RTN1	Q16799	P	150	10768008.97
10949	HNRNPA0	Q13151	P	150	103680369.1
2314	FLII	Q13045	P	150	62317968.79
5928	RBBP4	Q09028	P	150	131653868
6742	SSBP1	Q04837	P	150	49921162.36
6230	RPS25	P62851	P	150	188500748.1
1314	COPA	P53621	P	150	325941029
539	ATP5PO	P48047	P	150	35866855.29
1445	CSK	P41240	P	150	69548256.85
4176	MCM7	P33993	P	150	44846054.72
4172	MCM3	P25205	P	150	58961477.5
1503	CTPS1	P17812	P	150	77782060.5
2752	GLUL	P15104	P	150	54035387.58
1340	COX6B1	P14854	P	150	61066284.06
142	PARP1	P09874	P	150	82169171.27
6643	SNX2	O60749	P	150	87024856
10542	LAMTOR5	O43504	P	150	83825372.29
1193	CLIC2	O15247	P	150	67857073.88
51024	FIS1	Q9Y3D6	P	140	15261881.52
10726	NUDC	Q9Y266	P	140	40011327
64422	ATG3	Q9NT62	P	140	68906602.25
9748	SLK	Q9H2G2	P	140	15441842.88
54472	TOLLIP	Q9H0E2	P	140	41666285.13
54976	C20orf27	Q9GZN8	P	140	2736726.531
80155	NAA15	Q9BXJ9	P	140	100959880.3
283209	PGM2L1	Q6PCE3	P	140	55730742
221294	NT5DC1	Q5TFE4	P	140	43167315.84
5931	RBBP7	Q16576	P	140	131644055.8
6921	ELOC	Q15369	P	140	112237044.5
23170	TTLL12	Q14166	P	140	102968818.7
10155	TRIM28	Q13263	P	140	215961115.2
372	ARCN1	P48444	P	140	169417364.5
5605	MAP2K2	P36507	P	140	91351156
5594	MAPK1	P28482	P	140	182897442.3
6240	RRM1	P23921	P	140	40364208.27
27348	TOR1B	O14657	P	140	35848668.67
10054	UBA2	Q9UBT2	P	130	91454420.59
55256	ADI1	Q9BV57	P	130	50830875.67
6120	RPE	Q96AT9	P	130	68382128
3842	TNPO1	Q92973	P	130	78826273.58
23385	NCSTN	Q92542	P	130	16418164.5
23708	GSPT2	Q8IYD1	P	130	131353628.1
10480	EIF3M	Q7L2H7	P	130	107361002
7536	SF1	Q15637	P	130	23480275
10992	SF3B2	Q13435	P	130	26745709.5
4967	OGDH	Q02218	P	130	13500490.5
5935	RBM3	P98179	P	130	54625227.25
1601	DAB2	P98082	P	130	19306536.13
7329	UBE2I	P63279	P	130	57809702.75
9349	RPL23	P62829	P	130	152942431.3
6204	RPS10	P46783	P	130	200633096.2
5567	PRKACB	P22694	P	130	72628209.48
10313	RTN3	O95197	P	130	90681720
10791	VAMP5	O95183	P	130	9297481.781
1665	DHX15	O43143	P	130	186643891.5
10916	MAGED2	Q9UNF1	P	120	23954209.99
8649	LAMTOR3	Q9UHA4	P	120	114099142.4
53938	PPIL3	Q9H2H8	P	120	41403468.09
116496	NIBAN1	Q9BZQ8	P	120	81196890.95
3704	ITPA	Q9BY32	P	120	94569000
1155	TBCB	Q99426	P	120	46462827.94
10985	GCN1	Q92616	P	120	62156119.25
23256	SCFD1	Q8WVM8	P	120	67413306.58
374354	NHLRC2	Q8NBF2	P	120	39523043.5
255743	NPNT	Q6UXI9	P	120	83080310.77
10594	PRPF8	Q6P2Q9	P	120	91038611.92
1666	DECR1	Q16698	P	120	23378820.92
9861	PSMD6	Q15008	P	120	153471846.8
5300	PIN1	Q13526	P	120	32414925
5604	MAP2K1	Q02750	P	120	98189135.52
3430	IFI35	P80217	P	120	34393019.68
6222	RPS18	P62269	P	120	275067415.6
5705	PSMC5	P62195	P	120	176883205.8
10923	SUB1	P53999	P	120	235557231.1
3267	AGFG1	P52594	P	120	24403505.94
4171	MCM2	P49736	P	120	92176537.49
3676	ITGA4	P13612	P	120	20262082.25
3005	H1-0	P07305	P	120	80224284.36
5096	PCCB	P05166	P	120	8762625.5
10598	AHSA1	O95433	P	120	25255545.5
30851	TAX1BP3	O14907	P	120	67478228
51005	AMDHD2	Q9Y303	P	110	16861568
373156	GSTK1	Q9Y2Q3	P	110	48917095.08
51699	VPS29	Q9UBQ0	P	110	337384301.2
58513	EPS15L1	Q9UBC2	P	110	27236541
51520	LARS1	Q9P2J5	P	110	120678602.8
55920	RCC2	Q9P258	P	110	142157821
84681	HINT2	Q9BX68	P	110	39860485.5
10920	COPS8	Q99627	P	110	76173823.75
6272	SORT1	Q99523	P	110	65926558.64
5204	PFDN5	Q99471	P	110	14777666.17
30001	ERO1A	Q96HE7	P	110	46586925.75
60681	FKBP10	Q96AY3	P	110	28481957.83
254102	EHBP1L1	Q8N3D4	P	110	9186650.063
9961	MVP	Q14764	P	110	787917178.7
8661	EIF3A	Q14152	P	110	205691980.5
23530	NNT	Q13423	P	110	4921466.625
31	ACACA	Q13085	P	110	30386297.75
54888	NSUN2	Q08J23	P	110	75766201.88
10657	KHDRBS1	Q07666	P	110	218400379.3
84823	LMNB2	Q03252	P	110	17182343.84
5700	PSMC1	P62191	P	110	189188839
6748	SSR4	P51571	P	110	80001962
3419	IDH3A	P50213	P	110	13002904.75
2633	GBP1	P32455	P	110	45417192.8
7407	VARS1	P26640	P	110	192730241.6
10437	IFI30	P13284	P	110	48377375.38
9342	SNAP29	O95721	P	110	11623372.95
11313	LYPLA2	O95372	P	110	119581226.5
3840	KPNA4	O00629	P	110	35512686.38
9939	RBM8A	Q9Y5S9	P	100	30509441
51719	CAB39	Q9Y376	P	100	21775637.44
23136	EPB41L3	Q9Y2J2	P	100	105698189.9
51726	DNAJB11	Q9UBS4	P	100	26190225.83
23786	BCL2L13	Q9BXK5	P	100	11752267.25
51138	COPS4	Q9BT78	P	100	64103945.75
11343	MGLL	Q99685	P	100	78654312.65
391356	PTRHD1	Q6GMV3	P	100	29456610.5
8883	NAE1	Q13564	P	100	65521639
3099	HK2	P52789	P	100	70566748.33
10763	NES	P48681	P	100	50019195.66
3376	IARS1	P41252	P	100	162655736.8
4074	M6PR	P20645	P	100	61392072.13
5160	PDHA1	P08559	P	100	34291909.85
7812	CSDE1	O75534	P	100	71469998.96
4706	NDUFAB1	O14561	P	100	10501765.75
23446	SLC44A1	Q8WWI5	P	99	98753222.13
80777	CYB5B	O43169	P	99	44252659.67
37	ACADVL	P49748	P	98	29406318.59
57819	LSM2	Q9Y333	P	97	90855434.5
81873	ARPC5L	Q9BPX5	P	97	21700645.13
3799	KIF5B	P33176	P	97	121835109
51	ACOX1	Q15067	P	96	7972163.063
9550	ATP6V1G1	O75348	P	96	27450826
286257	PAXX	Q9BUH6	P	95	37429579.75
5717	PSMD11	O00231	P	95	189229210.4
9343	EFTUD2	Q15029	P	94	244521778.7
5530	PPP3CA	Q08209	P	94	35781385.75
836	CASP3	P42574	P	94	97360923.38
4836	NMT1	P30419	P	94	103869808
23451	SF3B1	O75533	P	94	156908470.7
2673	GFPT1	Q06210	P	93	157538526
6741	SSB	P05455	P	93	126159739.6
5955	RCN2	Q14257	P	92	29888718.72
6772	STAT1	P42224	P	92	79227526
3241	HPCAL1	P37235	P	92	41857913.57
1459	CSNK2A2	P19784	P	92	38855808.63
2744	GLS	O94925	P	92	23606795
25939	SAMHD1	Q9Y3Z3	P	91	185753304
9554	SEC22B	O75396	P	91	51162415.69
51474	LIMA1	Q9UHB6	P	90	39366201.08
29934	SNX12	Q9UMY4	P	89	49256890.75
4817	NIT1	Q86X76	P	89	106653871.6
6157	RPL27A	P46776	P	89	140992105.3
10471	PFDN6	O15212	P	89	29993606.34
221092	HNRNPUL2	Q1KMD3	P	88	204539536.6
10422	UBAC1	Q9BSL1	P	87	30117267.25
10291	SF3A1	Q15459	P	87	30986662
6168	RPL37A	P61513	P	87	42989618
11165	NUDT3	O95989	P	87	38146719.68
8440	NCK2	O43639	P	87	22895234.09
1653	DDX1	Q92499	P	86	122060723.8
391	RHOG	P84095	P	86	140174699.3
6147	RPL23A	P62750	P	86	69816066.38
5202	PFDN2	Q9UHV9	P	85	24199294.75
10163	WASF2	Q9Y6W5	P	84	28348156.94
5833	PCYT2	Q99447	P	84	69387505
4200	ME2	P23368	P	84	31530826.88
5636	PRPSAP2	O60256	P	84	38834564
5250	SLC25A3	Q00325	P	83	40677423.69
1460	CSNK2B	P67870	P	83	79743404.88
8665	EIF3F	O00303	P	83	78012079.41
22908	SACM1L	Q9NTJ5	P	82	39814904.13
8027	STAM	Q92783	P	82	20672064
6923	ELOB	Q15370	P	82	110768948.7
10959	TMED2	Q15363	P	82	69820673.16
3735	KARS1	Q15046	P	82	87545549.35
1781	DYNC1I2	Q13409	P	82	109384124.2
6117	RPA1	P27694	P	82	142689033.5
8607	RUVBL1	Q9Y265	P	81	193278599.8
5719	PSMD13	Q9UNM6	P	81	215010578.3
8878	SQSTM1	Q13501	P	81	39566358.64
6449	SGTA	O43765	P	81	24708605.56
27347	STK39	Q9UEW8	P	80	49143668.21
6653	SORL1	Q92673	P	79	16794408.5
26520	TIMM9	Q9Y5J7	P	78	13812398.13
23225	NUP210	Q8TEM1	P	78	10052553.89
671	BPI	P17213	P	78	92006232.83
23020	SNRNP200	O75643	P	78	158181995.1
11331	PHB2	Q99623	P	77	23856093.56
272	AMPD3	Q01432	P	77	42616243.99
1983	EIF5	P55010	P	77	46026057.81
6633	SNRPD2	P62316	P	76	68381203
4677	NARS1	O43776	P	76	124260037.9
10424	PGRMC2	O15173	P	76	62117874
5756	TWF1	Q12792	P	75	53434029.35
5905	RANGAP1	P46060	P	75	52926478.1
1282	COL4A1	P02462	P	75	43210837.75
5495	PPM1B	O75688	P	75	5405268.688
10067	SCAMP3	O14828	P	75	61457692.42
26275	HIBCH	Q6NVY1	P	74	58053866.19
5781	PTPN11	Q06124	P	74	31312218
5917	RARS1	P54136	P	74	199357325.1
6625	SNRNP70	P08621	P	74	123634148.4
51493	RTCB	Q9Y3I0	P	73	200765691.4
10075	HUWE1	Q7Z6Z7	P	73	54067419.42
146691	TOM1L2	Q6ZVM7	P	73	14463194.14
11338	U2AF2	P26368	P	73	108151187.5
5718	PSMD12	O00232	P	73	142426362.2
51386	EIF3L	Q9Y262	P	72	158140834.1
64841	GNPNAT1	Q96EK6	P	72	132358227.6
23345	SYNE1	Q8NF91	P	72	22407056.94
3159	HMGA1	P17096	P	72	49138810.75
2762	GMDS	O60547	P	72	133003707.5
2788	GNG7	O60262	P	72	13091478.04
27339	PRPF19	Q9UMS4	P	71	286671930.6
55347	ABHD10	Q9NUJ1	P	71	20675831.44
8895	CPNE3	O75131	P	71	105662451.9
10066	SCAMP2	O15127	P	71	70421659.47
55705	IPO9	Q96P70	P	70	13463043.48
8668	EIF3I	Q13347	P	70	151810090
22818	COPZ1	P61923	P	70	109218018.7
1743	DLST	P36957	P	70	20040055.75
509	ATP5F1C	P36542	P	70	14477835.13
5007	OSBP	P22059	P	70	42564959.54
5710	PSMD4	P55036	P	69	66033313
8540	AGPS	O00116	P	69	9422608.934
8672	EIF4G3	O43432	P	68	79290150.83
6294	SAFB	Q15424	P	67	7690782.391
10294	DNAJA2	O60884	P	67	59901665.25
83440	ADPGK	Q9BRR6	P	66	14803165.39
6217	RPS16	P62249	P	66	468573946.6
11316	COPE	O14579	P	66	166180474.3
27161	AGO2	Q9UKV8	P	65	17049792.75
8452	CUL3	Q13618	P	65	10032159.25
318	NUDT2	P50583	P	65	42170820
2060	EPS15	P42566	P	65	12665649.96
57486	NLN	Q9BYT8	P	64	40084364
6203	RPS9	P46781	P	64	245792904.5
3693	ITGB5	P18084	P	64	37954064.07
8666	EIF3G	O75821	P	64	38350524
9567	GTPBP1	O00178	P	64	17666677.5
51160	VPS28	Q9UK41	P	63	29487525.06
8939	FUBP3	Q96I24	P	63	34328396
1466	CSRP2	Q16527	P	63	80911890.22
10981	RAB32	Q13637	P	63	28737465.75
9276	COPB2	P35606	P	63	337971233.1
11328	FKBP9	O95302	P	63	19664930.38
51506	UFC1	Q9Y3C8	P	62	17329031.25
4926	NUMA1	Q14980	P	62	20096282.25
6434	TRA2B	P62995	P	62	50242844.99
5910	RAP1GDS1	P52306	P	62	20720431.97
164	AP1G1	O43747	P	62	27955119.88
79077	DCTPP1	Q9H773	P	61	9913530.688
3032	HADHB	P55084	P	61	25036840.63
5162	PDHB	P11177	P	61	15975832
160	AP2A1	O95782	P	61	109006411.2
10787	NCKAP1	Q9Y2A7	P	60	61564779.33
23509	POFUT1	Q9H488	P	60	5013835.734
10605	PAIP1	Q9H074	P	60	30520286.28
9551	ATP5MF	P56134	P	60	34935346.44
5033	P4HA1	P13674	P	60	43469045.03
10476	ATP5PD	O75947	P	60	11394439
9967	THRAP3	Q9Y2W1	P	59	106010710.3
6158	RPL28	P46779	P	59	155162865.4
4905	NSF	P46459	P	59	72120751.33
1678	TIMM8A	O60220	P	59	105945955.5
23607	CD2AP	Q9Y5K6	P	58	29252676.33
25923	ATL3	Q6DD88	P	58	58007006.58
5859	QARS1	P47897	P	58	153517371.7
8659	ALDH4A1	P30038	P	58	37362834.38
22820	COPG1	Q9Y678	P	57	170473935.5
10946	SF3A3	Q12874	P	57	39277996
2584	GALK1	P51570	P	57	154803393.2
1495	CTNNA1	P35221	P	57	123807794.2
55862	ECHDC1	Q9NTX5	P	56	60754148
2193	FARSA	Q9Y285	P	55	111281852.7
4482	MSRA	Q9UJ68	P	55	88109288.75
84833	ATP5MD	Q96IX5	P	55	5665681
3895	KTN1	Q86UP2	P	55	4030675.406
4130	MAP1A	P78559	P	55	36662296.75
2969	GTF2I	P78347	P	55	31460367.25
6774	STAT3	P40763	P	55	71205695.25
1327	COX4I1	P13073	P	55	5395858.971
50813	COPS7A	Q9UBW8	P	54	28839514.5
25927	CNRIP1	Q96F85	P	54	36217535.69
4155	MBP	P02686	P	54	34481035.16
2037	EPB41L2	O43491	P	54	113746627.5
10856	RUVBL2	Q9Y230	P	53	185564022.7
23039	XPO7	Q9UIA9	P	53	47698861.58
128866	CHMP4B	Q9H444	P	53	47777354.53
114483834	ABCF2-H2BE1	Q9UG63	P	51	57135712.44
10061	ABCF2	Q9UG63	P	51	57135712.44
29926	GMPPA	Q96IJ6	P	51	67423200.56
983	CDK1	P06493	P	51	94551394.79
23450	SF3B3	Q15393	P	50	111306003.9
79585	CORO7	P57737	P	50	76517863.25
7915	ALDH5A1	P51649	P	50	36947842.8
8833	GMPS	P49915	P	50	117781964.5
6738	RO60	P10155	P	50	41673127.95
10269	ZMPSTE24	O75844	P	50	14987846.03
4697	NDUFA4	O00483	P	50	18129419.16
961	CD47	Q08722	P	49	213233772.9
9040	UBE2M	P61081	P	49	104774755.3
10120	ACTR1B	P42025	P	49	172481564.1
51637	RTRAF	Q9Y224	P	48	41358476.17
113675	SDSL	Q96GA7	P	48	22647694
6675	UAP1	Q16222	P	48	57133328.38
9667	SAFB2	Q14151	P	48	6517488.25
1982	EIF4G2	P78344	P	48	25333644.65
5832	ALDH18A1	P54886	P	48	10486786.5
4719	NDUFS1	P28331	P	48	12895082.25
6627	SNRPA1	P09661	P	48	57726187.06
9908	G3BP2	Q9UN86	P	47	121626070.9
10514	MYBBP1A	Q9BQG0	P	47	25730906.91
196527	ANO6	Q4KMQ2	P	47	24367404.71
6636	SNRPF	P62306	P	47	62539078.9
1104	RCC1	P18754	P	47	86593051.08
440	ASNS	P08243	P	47	40058811.65
9141	PDCD5	O14737	P	47	83191247
1794	DOCK2	Q92608	P	46	33276239.33
5595	MAPK3	P27361	P	46	168592078.5
1267	CNP	P09543	P	46	79850631.6
4542	MYO1F	O00160	P	46	34434328.63
51400	PPME1	Q9Y570	P	45	45604744.69
126298	IRGQ	Q8WZA9	P	45	4381095.375
55198	APPL2	Q8NEU8	P	45	22152166
6789	STK4	Q13043	P	45	27557816.48
1374	CPT1A	P50416	P	45	20564675.83
1537	CYC1	P08574	P	45	14310258.79
10452	TOMM40	O96008	P	45	3454549.734
9146	HGS	O14964	P	45	21631702.38
10419	PRMT5	O14744	P	45	106578860.7
30968	STOML2	Q9UJZ1	P	44	17038627.09
79672	FN3KRP	Q9HA64	P	44	148396240.9
64708	COPS7B	Q9H9Q2	P	44	36752398.75
8148	TAF15	Q92804	P	44	46820582.81
9221	NOLC1	Q14978	P	44	27815084.5
8451	CUL4A	Q13619	P	44	63929434.06
6142	RPL18A	Q02543	P	44	232243015.9
403	ARL3	P36405	P	44	59032178.81
4174	MCM5	P33992	P	44	69788978.96
2180	ACSL1	P33121	P	44	83506658.08
5610	EIF2AK2	P19525	P	44	33172378.38
1737	DLAT	P10515	P	44	55822763
10632	ATP5MG	O75964	P	44	19257908.28
10043	TOM1	O60784	P	44	27874467.55
79876	UBA5	Q9GZZ9	P	43	54994070
51673	TPPP3	Q9BW30	P	43	348541477.3
8175	SF3A2	Q15428	P	43	14788277.5
1312	COMT	P21964	P	43	201827900.5
55177	RMDN3	Q96TC7	P	42	21334959.29
79154	DHRS11	Q6UWP2	P	42	33095263.13
6749	SSRP1	Q08945	P	42	78715128.46
5947	RBP1	P09455	P	41	52995021.25
9559	VPS26A	O75436	P	41	40770089.75
51155	JPT1	Q9UK76	P	40	56760749.75
25814	ATXN10	Q9UBB4	P	40	24598656.38
56474	CTPS2	Q9NRF8	P	40	55547906.44
9188	DDX21	Q9NR30	P	40	99359979.33
113146	AHNAK2	Q8IVF2	P	40	26237928.88
8301	PICALM	Q13492	P	40	23259304.14
22872	SEC31A	O94979	P	40	121707168.8
10741	RBBP9	O75884	P	40	122311391.3
29959	NRBP1	Q9UHY1	P	39	31424892.95
55914	ERBIN	Q96RT1	P	39	19828635.78
23234	DNAJC9	Q8WXX5	P	39	30553336
2289	FKBP5	Q13451	P	39	82156903.75
6205	RPS11	P62280	P	39	341556034.3
7172	TPMT	P51580	P	39	54872956.31
1350	COX7C	P15954	P	39	20135467.81
9184	BUB3	O43684	P	39	180537048
29925	GMPPB	Q9Y5P6	P	38	90157305.21
8533	COPS3	Q9UNS2	P	38	73452706.44
131870	NUDT16	Q96DE0	P	38	25222506.5
9688	NUP93	Q8N1F7	P	38	24796361.56
8667	EIF3H	O15372	P	38	104517447.3
8634	RTCA	O00442	P	38	81490153.51
8546	AP3B1	O00203	P	38	89716051.96
10055	SAE1	Q9UBE0	P	37	50534073.81
10987	COPS5	Q92905	P	37	73544690.41
2787	GNG5	P63218	P	37	52359528
36	ACADSB	P45954	P	37	23328419.08
2181	ACSL3	O95573	P	37	32452662.75
439	GET3	O43681	P	37	65641211.5
54732	TMED9	Q9BVK6	P	36	64598697.07
7257	TSNAX	Q99598	P	36	28759814.08
6284	S100A13	Q99584	P	36	42094348.35
116985	ARAP1	Q96P48	P	36	41793842.98
54495	TMX3	Q96JJ7	P	36	13657500.21
145482	PTGR2	Q8N8N7	P	36	41128147.21
10262	SF3B4	Q15427	P	36	14604155
3064	HTT	P42858	P	36	21314944.21
8664	EIF3D	O15371	P	36	166759175.3
55699	IARS2	Q9NSE4	P	35	15457659.57
9039	UBA3	Q8TBC4	P	35	89534077.13
7965	AIMP2	Q13155	P	35	114543843.5
9255	AIMP1	Q12904	P	35	119163022.1
6396	SEC13	P55735	P	35	156372995.8
5321	PLA2G4A	P47712	P	35	50274958.04
8544	PIR	O00625	P	35	15112663.31
26136	TES	Q9UGI8	P	34	48555937.75
79188	TMEM43	Q9BTV4	P	34	29420663.88
9689	BZW1	Q7L1Q6	P	34	97707470.56
6635	SNRPE	P62304	P	34	98945903.56
6144	RPL21	P46778	P	34	240178884.6
529	ATP6V1E1	P36543	P	34	52774336.35
3155	HMGCL	P35914	P	34	26563462.33
11212	PLPBP	O94903	P	34	42982050.1
1736	DKC1	O60832	P	34	113305044.8
26873	OPLAH	O14841	P	34	33232617.98
8243	SMC1A	Q14683	P	33	27469917.42
4175	MCM6	Q14566	P	33	37890400.67
3071	NCKAP1L	P55160	P	33	35960140.38
483	ATP1B3	P54709	P	33	80224181.19
10533	ATG7	O95352	P	33	70552714.79
81892	SLIRP	Q9GZT3	P	32	31477740.75
51593	SRRT	Q9BXP5	P	32	70218256.5
224	ALDH3A2	P51648	P	32	57435162.5
9525	VPS4B	O75351	P	32	56606147.67
50808	AK3	Q9UIJ7	P	31	79576172.04
10432	RBM14	Q96PK6	P	31	56259687.63
6599	SMARCC1	Q92922	P	31	28844651.5
83451	ABHD11	Q8NFV4	P	31	15529822.47
3628	INPP1	P49441	P	31	38250784.5
55666	NPLOC4	Q8TAT6	P	30	60220855.33
50809	HP1BP3	Q5SSJ5	P	30	82994254.79
133686	NADK2	Q4G0N4	P	30	35953614.21
5580	PRKCD	Q05655	P	30	34287930
